"id","name","year","region","country","state","description","status","url","notes","age_verification","parental_consent","hours_of_access","parental_account_access","data_privacy","targeted_ads","algorithms_and_platform_design","pornographic_content","blocking_foreign_apps","artificial_intelligence","phones_in_schools","media_literacy","parental_controls","establish_commissions","social_media_tax","reporting_abuse","child_labor","screentime_notifications"
"AB3216","Pupils: use of smartphones",2024,"North America","USA","California","This bill requires the governing body of a school district, a county office of education, or a charter school to develop and adopt a policy (updating it every 5 years) to limit or prohibit smartphone use while the pupils are at a school site or while the pupils are under the supervision and control of an employee or employees of that school district, county office of education, or charter school by July 1, 2026.","passed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB3216","Enacted",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AB56","Social Media: Warning Labels",2025,"North America","USA","California","This bill requires a  platform to display a certain black box warning to certain users each day the user initially accesses the social media platform, again after 3 hours of cumulative active use, and thereafter at least once per hour of cumulative active use, as prescribed. This is voided if they can reasonably prove the user is at least 18 years old.","passed","https://legiscan.com/CA/text/AB56/2025","Enacted",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"AB1043","Age verification signals: software applications and online services.",2025,"North America","USA","California","This bill requires age verification within the brackets of under 13 years old, between 16 and 18, and over 18. It also requires privacy and data protections from collection and use of personal information beyond necessary.","passed","https://legiscan.com/CA/text/AB1043/2025","Enacted",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SB976","Protecting Our Kids from Social Media Addiction Act.",2023,"North America","USA","California","This bill prohibits online platforms from knowingly providing an addictive feed to a minor (under 18) without parental consent.  The bill also prohibits social media platforms from sending notifications to minors during school hours (8am-3pm) and during the night (midnight-6am) between September and May.","passed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB976","Enacted",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AB1880","Minors: artistic employment",2023,"North America","USA","California","This bill provides child influencers (under 18) with the same financial protection as other forms of more traditional artistic employment (e.g. child actors).","passed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1880","Enacted",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HB4388","Social Media Regulation Act",2025,"North America","USA","Michigan","This bill requires age verification and parental consent for minors under 18 to create or log into their social media account, as well as rules within the apps, such as banned usage from 10:30pm - 6:30am. This bill also allows legal guardians access to view their under 18 child's social media usage.","pending","https://legislature.mi.gov/documents/2025-2026/billintroduced/House/pdf/2025-HIB-4388.pdf","Pending",1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"SB5708/HB1834","Protecting Washington children online",2025,"North America","USA","Washington","This bill requires social media platforms to reasonably estimate their users' ages and prohibits social media platforms or websites with addictive feeds from sending push notifications to users under 18 from 8am-3pm and 12am-6am from September to May without parental consent. This bill also requires that users have setting options to control their addictive feed, what they see, and what others see of their account. This bill explicitly mentions that it does not give parents access to or control over the account of their child under 18.","failed","https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/Senate Bills/5708-S.E.pdf","Failed",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"AB320","Internet Privacy",2023,"North America","USA","Nevada","This bill establishes various requirements for certain businesses that provide an online service, product or feature that is likely to be accessed by individuals under 18. This requires an assessment on the impact data collection may have and creates limitations on the tools used for data collection.","failed","https://www.leg.state.nv.us/Session/82nd2023/Bills/AB/AB320.pdf","Failed",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"SB63","Revises provisions relating to the processing of certain data.",2025,"North America","USA","Nevada","This bill enacts additional requirements for the collection and handling of data for child users (under 13) by controllers (defined as a provider or operator of an online service, product, or feature).","failed","https://legiscan.com/NV/bill/SB63/2025","Failed",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"HB271","parental consent for social media accounts",2024,"North America","USA","Alaska","This bill requires social media platforms to either verify that someone is over 18 or obtain written parental consent before allowing anyone under 18 to create an account. This bill also gives parents full access to the social media account belonging to their child (under 18), prohibits targeted advertising to minors, prohibits addictive feed for minor users, and restricts minors access to their account between 10:30pm and 6:30am unless a parent changes this in their account settings.","failed","https://www.akleg.gov/basis/Bill/Text/33?Hsid=HB0271A","Failed",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"HB57","wireless communication devices in schools",2025,"North America","USA","Alaska","This bill requires public schools to restrict any usage of non-school-issued wireless communication devices during school hours, including passing period and lunch times (with exceptions for emergencies).","passed","https://www.akleg.gov/PDF/34/Bills/HB0057A.PDF","Enacted",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HB46","An Act relating to minors; and relating to the distribution and use of electronic
applications",2025,"North America","USA","Alaska","This bill requires the app store to require age verification and parental consent if a minor (under age 18) is purchasing. This bill also allows parents to control app usage and allows legal penalties if the app stores or apps do not comply.","pending","https://www.akleg.gov/PDF/34/Bills/HB0046A.PDF","Pending",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HB85","Social Media-Parental Consent for Minors Required",2024,"North America","USA","Wyoming","This bill requires social media companies to verify that an individual is at least 18 or obtain parental consent for anyone under 18 to create an account.","failed","https://legiscan.com/WY/text/HB0085/id/2904750/Wyoming-2024-HB0085-Introduced.pdf","Failed",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SB180","require age verification before an individual may access an application from an online application store.",2025,"North America","USA","South Dakota","This bill requires app store providers to verify that a user is over 18 or obtain parental consent or affiliate the minor account with an account belonging to someone over 18. This bill also requires that this information is shared with app developers and that the developers use that information to enforce any age restrictions.","failed","https://sdlegislature.gov/Session/Bill/26140/279276","Failed",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"HB1275","create requirements for age verification and parental consent for application stores and to provide a penalty therefor",2026,"North America","USA","South Dakota","This bill  requires that app stores request age categories from all users, verify those ages, and require parental consent for app downloads by any accounts belonging to individuals under 18 (minor accounts). It also requires that complete information about applications and any significant changes are provided to parent accounts linked to a minor account, and it provides a penalty for noncompliance.","pending","https://sdlegislature.gov/Session/Bill/26793/303793","Pending",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HB1309","restrict the processing of online personal data of individuals sixteen years of age or younger",2026,"North America","USA","South Dakota","This bill restricts the processing of online personal data of individuals 16 years of age or younger to only strictly necessary personal data.","pending","https://sdlegislature.gov/Session/Bill/26602/301246","Pending",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"HB1257","An Act to require the Executive Board of the Legislative Research Council to establish an interim study committee on minors' access to pornographic material",2024,"North America","USA","South Dakota","This bill underwent significant changes since introduction, with the latest version requiring the Legislative Research Council to establish an interim study committee on access to pornographic material for minors (under age 18). Upon introduction, this bill required age verification by websites containing material harmful to minors (under 18).","failed","https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:SD2024000H1257&verid=SD2024000H1257_20240304_0_N","Failed",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"SB168","Regulate the use of Chatbots by minors",2026,"North America","USA","South Dakota","This bill regulates the use of AI Chatbots by minors (under 18) by restricting how Chatbots can interact with them and requiring age-verification systems for any chatbots with human-like features.","failed","https://sdlegislature.gov/Session/Bill/26549/299283","Failed",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"HB47","relating to generated obscene child sexual abuse material",2026,"North America","USA","Alaska","This bill introduces new penalties for using AI or social media to generate, disseminate, or promote sexually abusive material to or involving minors, and includes regulations for social media interactions with minors.","pending","https://www.akleg.gov/basis/Bill/Text/34?Hsid=HB0047E","Pending",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"HB318","relating to use of social media platforms by minors; and providing for an effective date",2026,"North America","USA","Alaska","This bill requires parental consent for social media companies to provide addictive social media features to a minor and for data collection of minors beyond necessary data. It also requires more transparency from social media companies on the impacts of their platforms on minors.","pending","https://www.akleg.gov/basis/Bill/Text/34?Hsid=HB0318A","Pending",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"SB262","Relates to social media and minors; provides for an effective date",2025,"North America","USA","Alaska","This bill applies to all social media platforms created within the last twelve months or where at least 10 percent of its users under 18 use the platform for greater than 2 hours on the days that they use the platform. It requires that these platforms prohibit any individual under 16 from holding an account, requires termination of existing accounts belonging to someone under 16, and prohibits personalized content recommendation systems for any users under 18. It also imposes civil penalties for noncompliance.","pending","https://www.akleg.gov/PDF/34/Bills/SB0262A.PDF","Pending",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"SB18","wireless telecommunications devices in public schools",2025,"North America","USA","Alaska","This bill prohibits the possession or use of personal (non-school-issued) wireless telecommunication devices in public schools during school hours.","pending","https://www.akleg.gov/basis/Bill/Text/34?Hsid=SB0018A","Pending",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AB2","Injuries to Children: Civil Penalties",2026,"North America","USA","California","This bill specifies the damages social media companies can be held liable for if they exercise injury to a child (under 18) due to their failure to exercise ordinary care or skill.","pending","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2","Pending",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AB1700","E-Safety Commission: Youth Online Protection",2026,"North America","USA","California","This bill establishes the E-Safety Commission and specifies it as a state entity that enforces, coordinates, and oversees age verification practices and guidelines.","pending","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB1700","Pending",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AB1709","Covered Platforms: Account Creation: Age Restriction",2026,"North America","USA","California","This bill requires covered platforms to prevent individuals under 16 from creating or accessing an account on the platform. It also establishes the e-safety Advisory Commission to advise the Attorney General on e-safety matters, and allows this commission to change the scope of ""covered platform"" as needed. ""Covered Platform"" includes any online service, website, or app that provides addictive feed to its users as a significant part of its service.","pending","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB1709","Pending",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"AB1856","Age Verification Signals: Software Applications",2026,"North America","USA","California","This bill requires phone operating systems (e.g. iOS, Android) to pass along a 'signal' containing age bracket information (<13 years, 13-16, 16-18, or at least 18 years old) that is registered with the phone account to websites and apps. Data must be protected and used only for age verification during this process. Additionally, this bill specifies that this means that websites/apps can't deny that they knew the actual age of an individual visiting/using their service. If there is strong evidence that a user is younger than their signal reports, websites must rely on that internal evidence.","pending","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB1856","Pending",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB1946","Youth: Commercial Sexual Exploitation",2026,"North America","USA","California","This bill expands the definition of ""child sexual abuse material"" to include material including any individual who is or reasonable appears to be under 18, and makes noncompliant social media companies liable to the individual depicted rather than to the reporting individual. Any of these penalties are also required to be deposited into the Survivor Support Fund.","pending","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB1946","Pending",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"AB1988","Companion Chatbots: Crisis Interruption Pauses",2026,"North America","USA","California","This bill requires increased detection and response systems and policies for companion chatbots related to user crisis expressions (intent to harm themselves or others), and it requires that these policies are made publicly available.","pending","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB1988","Pending",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AB2023/SB1119","Companion Chatbots: Children’s Safety",2026,"North America","USA","California","This bill requires companion chatbot operators to perform annual comprehensive risk assessments for any child  (under 18) safety risks (starting July 1st, 2027) and submit independent audits of its compliance. Starting January 01, 2028, this bill requires the Attorney General to issue an annual public report of these audits.","pending","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB2023","Pending",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AB2076","The Parents Accountability and Child Protection Act",2026,"North America","USA","California","This bill prohibits an online company (including social media platforms) from allowing a buyer to use a gift card for specified products or services that are illegal to sell to an individual under 18, includes nitrous oxide on the list of specified products, and increases civil liability.","pending","https://calmatters.digitaldemocracy.org/bills/ca_202520260ab2076","Pending",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AB2246","Online service, product, or feature: access by children.",2026,"North America","USA","California","This bill requires any business that provides an online service, product, or feature likely to be accessed by children (under 18) to default to highest data protection and privacy settings, clearly provide information to minor accounts (belonging to someone under 18) using understandable language about how their information is being collected/used, and clearly display to them when a guardian is monitoring their usage. This bill also requires these businesses to have clear mechanisms for reporting data privacy concerns and places additional restrictions on their collection, use, and distribution of children's data.","pending","https://legiscan.com/CA/text/AB2246/id/3425967","Pending",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"AB2426","Online Platforms: Educational Children’s Content",2026,"North America","USA","California","This bill enacts the California Children’s Digital Educational Content Act of 2026, requiring that covered platforms (companies with a revenue greater than $1 million/year) have a designated educational children's content section (a walled garden) that is free of targeted advertising and accessible to individuals under 18 without an account.","pending","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2426","Pending",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"AB2617","Protecting Kids from Online Gambling Act",2026,"North America","USA","California","This bill prohibits digital services, platforms, or applications from advertising or making available gambling or prediction market wagering activities to individuals under 18. It also requires that any data collected for the purpose of age determination is deleted immediately after age verification and not used for any other purpose.","pending","https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwQTI2MTcifQ.pwiwvozfdzR7kp5-g19nqzV7PKF-zYXgzJWNJnUcztE/text","Pending",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"SB300","Companion Chatbots",2025,"North America","USA","California","This bill requires a companion chatbot operator to prevent their chatbot from directly suggesting to a minor (an individual under 18) to participate in sexually explicit activities, and to prevent the chatbot from facilitating, producing, or engaging in sexually explicit conduct or material. This bill also requires that any operator with actual knowledge that their user is a minor must prevent their chatbot from encouraging any self-harm and must provide regular reminders to the minor user that they're interacting with an AI chatbot, not a human.","pending","https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwUzMwMCJ9.5L4kQ0XxEvKxo1Bg9BWULuz7VtlHi6xOxgEct_L-3Yw/text","Pending",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"SB867","Toys: Companion Chatbots",2025,"North America","USA","California","This bill prohibits making or selling toys for children that include companion chatbots until January 1, 2031, and outlines civil  liability.","pending","https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwUzg2NyJ9.1Gg6_Gdlbi2r7mmsO80e2B8ChXhvoZL2Sx30ZRdi1qc/text","Pending",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SB1015","Crimes: Minors",2025,"North America","USA","California","This bill expands California's extortion statute to penalize an adult who uses online platforms or AI-generated explicit content to groom, coerce, exploit, or otherwise cause harm to a minor, or who manipulates one minor into causing harm or committing a sexual or illegal act to another minor (under 18) through any channel of communication.","pending","https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwUzEwMTUifQ.IMpUzOCiw4sSyBEzTNjdymBbqT1-LOcpmyKmieFMJH0/text","Pending",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"SB1247","Social Media Platforms: Child Influencers ",2025,"North America","USA","California","This bill requires social media platforms to have clear way for child influencers (defined as individuals over the age of 18 who were featured in content before they turned 18) to request that a vlogger (the child influencer's family member and/or legal guardian) deletes or edits content that the child influencer was featured in before they turned 18. This bill only applies to content the vlogger received compensation for.","pending","https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwUzEyNDcifQ.9_p12NwYRo6NuIuaoOYHzdpYJ7TaVs_ZazwcRskTPp0/text","Pending",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AB235","Pupils: Use of Smartphones",2025,"North America","USA","California","This bill authorizes specific ways for smartphone use to be restricted in public schools, including a schedule-based restriction policy or full-day restriction policy.","pending","https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000A235&ciq=ncsl5&client_md=06bd33c3b8c21f95cd532d18fea49298&mode=current_text","Pending",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AB237","Crimes: Threats",2025,"North America","USA","California","This bill criminalizes posting threatening images or text with specific intent for it to be taken as a threat and that causes another person to fear for their safety at their current location or one specified in the threat. It also specifies imprisonment time if the poster is above the age of 18 and referral to specialized services if the poster is under 18.","pending","https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwQTIzNyJ9.Ptlw66kS-BdWGk1I2IdObRl3Iq1jTYbF6856B7B2T6E/text","Pending",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
